date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2014-07-03 05:27:06,embracebipolar,,0,0,0,"A day without Fanapt http://wp.me/p4LZds-P",,,,484568995949850624,https://twitter.com/embracebipolar/status/484568995949850624
2014-06-19 22:45:13,lionelc1,,0,0,0,"I just uploaded ""Fanapt Project"" to Vimeo: http://vimeo.com/98686278",,,,479756818819076096,https://twitter.com/lionelc1/status/479756818819076096
2014-06-15 07:59:25,AryehsSharings,,0,1,0,"Predictions Confirmed: Shooter Adam Lanza Was on Violence-Linked Anti-Psychotic Fanapt: by ... http://bit.ly/1kClg5P via@Obscure Vision",,,,478084347979759616,https://twitter.com/AryehsSharings/status/478084347979759616
2014-06-05 23:53:45,NineInchBride,,0,0,0,"Does it matter whether capitalism is killing us with #fanapt, pollution, #austerity, #slaveWages or guns? #FreeMarketMurder",,,#fanapt #austerity #slaveWages #FreeMarketMurder,474700635607425024,https://twitter.com/NineInchBride/status/474700635607425024
2014-06-04 12:58:30,WellnessHeal,,0,0,0,"Newtown school shooter needed nutrition, not drugs- Fanapt from Novartis - http://NaturalNews.com http://www.naturalnews.com/038415_school_shootings_nutrition_psychiatric_drugs.html via @HealthRanger",,@HealthRanger,,474173346603487232,https://twitter.com/WellnessHeal/status/474173346603487232
2014-06-04 12:58:14,WellnessHeal,,0,0,0,"Newtown school shooter needed nutrition, not drugs like Fanapt from Novartis http://fb.me/6wgPcT8kC",,,,474173281663086592,https://twitter.com/WellnessHeal/status/474173281663086592
2014-05-31 00:34:51,thinkshrink,,0,0,0,"Reposting for all those prescribers that believe the hype for Latuda, Saphris , and Fanapt. It is all in the... http://fb.me/6Rk9vyciM",,,,472536652708347904,https://twitter.com/thinkshrink/status/472536652708347904
2014-05-17 01:01:10,thinkshrink,,0,0,0,"Powerful 2009 Post from MacGuffin - reviewing Latuda, Fanapt, and Saphris...the ""Me Too"" antipsychotics that have... http://fb.me/3hYZSfkE7",,,,467469841985581056,https://twitter.com/thinkshrink/status/467469841985581056
2014-05-14 11:06:41,MaisaCorp,,0,1,1,"$TTNP Beginning in April 2013, Titan discontinued recognizing Fanapt royalty revenues, as all royalties are being paid to third parties.",,,,466535063300362240,https://twitter.com/MaisaCorp/status/466535063300362240
2014-05-14 11:06:24,MaisaCorp,,0,0,0,"$TTNP Titan did not recognize any Fanapt® royalty revenues during the quarter ended March 31, 2014--WOW",,,,466534990210015232,https://twitter.com/MaisaCorp/status/466534990210015232
